,Title,Artist,Lyrics
Promise Blender,Promise Blender,Skillet,"When I was a young boy
I saw a vision of Your face
So, I made a my first promise to you
Yeah, you know it took some time
But I love You, now I realize

I am a promise maker
I, I am a promise breaker

On the road to faithfulness
I sometimes forget Your name
But I can still see Your face
But time after time
I hear You callin' my name
I've got to name for me, I've got to a name for
I've got to name for me, I got to name

I am the promise maker
I, I am the promise breaker
I am the promise maker
I, I am the promise breaker

I'm the promise maker, I'm the promise maker
I'm the promise maker, I'm the promise maker
I'm the promise maker, I'm the promise maker
I'm the promise maker, I'm the— ah!

On my knees for the last time
I could rip my heart out every day
I made my last promise to You
Yeah, I could cry, I could cry a million tears a day
And all I would hear, all I would hear You say is…

You are the promise taker
You are the promise taker
You are the promise taker
Put them in Your promise blender

Yeah, promise blender, blender, blender, You take them
You are the promise taker
You took me and You own me and You bought me and You love me
You are the promise taker
Promise keeper, keeper, keeper, keeper
You are the promise taker
Keeper, keeper, keeper, keeper
Put them in your promise blender"
Come My Way,Come My Way,Skillet,"Hundreds come from everywhere
Just to see your face and touch the healer's hand
Desperate, I push through the crowd
If I could touch your clothes
I could feel your power

Come my way
Come my way
Come my way
Come my way

Please look
And notice me
Just to release my pain
Just to know your name

Come my way
Come my way
Come my way
Come my way

I'm out of touch
I'm out of reach
I've got the faith to believe
Am I out of touch or out of reach
What would it take for you to walk towards me

I'm out of touch, out of reach
But I'm running towards you and it's all I believe

Come my way
Come my way, yeah
Come my way (won't you)
Come my way, yeah
Come my way (come my way)
Come my way
Come my way (won't you)
Come my way

Just a touch"
One Real Thing,One Real Thing,Skillet,"Speak, and my heart starts aching
Reach, and the numbness dims
Beat, still my minds uncertain
Breathe, it begins again

You are the One Real Thing, Yeah
You are the One True Thing that I know
You are the One Real Thing
No matter what the future brings
You're the One Real Thing

Stay, locked within Your presence
Truth, renew in my mind again
Rest, cause I know You're faithful and I
Trust, cause I know Your name

You are the One Real Thing, yeah
You are the One True Thing that I know
You are the One Real Thing
No matter what the future brings
You're the One Real Thing

I get down on my knees and I
Feel Your love wash over me
I get down on my knees and I
Feel Your love wash over me
I get down on my knees and I
Feel Your love wash over me
I get down on my knees and I
Feel Your love wash over me

Speak, and my heart starts aching
Reach, and the numbness dims
Beat, still my minds uncertain
Breathe, it begins again, again again

You are the One Real Thing, yeah
You are the One True Thing that I know
You are the One Real Thing, yeah
You are the One True Thing that I know
You are the One Real Thing
No matter what the future brings
You'e the One Real Thing

I get down on my knees and I
Feel Your love wash over me (One Real Thing)
I get down on my knees and I
Feel Your love wash over me (One Real Thing)
I get down on my knees and I
Feel Your love wash over me (One Real Thing)
I get down on my knees and I
Feel Your love wash over me (One Real Thing)
I get down on my knees and I
Feel Your love wash over me (One Real Thing)
I get down on my knees and I
Feel Your love wash over me (One Real Thing)"
Victorious (Soundtrack Version),Victorious (Soundtrack Version),Skillet,"I hear 'em talk to me
But they're not listenin'
Their words are kerosene
They don't know who I am
They'd never understand
What it's like to be me

I don't wanna be here (Be here, be here, be here)
So stuck inside
Tell me, how long have I been here? (Been here, been here, been here)
I'm losin' track of time

In all this loneliness, in all this emptiness
Been stuck inside this room like a prison sentence
I'm not gonna stay, tell me there's a way
[Chorus: John Cooper & 
Jen Ledger
]
High above it all
Victorious, victorious
Far too long I've crawled
In hopelessness, I'm over this
Don't give up on me (
Don't give up on me
)
Tell me you believe (
Tell me you believe
)
I can't face it all
Victorious, victorious

O-oh o-oh o-oh oh
O-oh o-oh o-oh oh

Can't change this overnight
Though Heaven knows I tried
Here I go again
I need a Savior now
Someone to break me out
Who's been the place I've been

Don't wanna be forgotten (—gotten, —gotten, —gotten)
When I'm dead and gone
I just wanna be the one who (One who, one who, one who)
Got up and came back strong
[Chorus: John Cooper & 
Jen Ledger
]
High above it all (
It all
)
Victorious, victorious
Far too long I've crawled (
Far too long
)
In hopelessness, I'm over this
Don't give up on me (
Don't give up on me
)
Tell me you believe (
Tell me you believe
)
I can't face it all
Victorious, victorious

O-oh o-oh o-oh oh
O-oh o-oh o-oh oh

Help me 'cause I'm fallin'
When I can't sleep but I'm holding on
Can't face this night alone

In all this loneliness, in all this emptiness
Been stuck inside this room like a prison sentence
I'm not gonna stay, tell me there's a way
[Chorus: John Cooper & 
Jen Ledger
]
High above it all (
It all
)
Victorious, victorious
Far too long I've crawled (
Far too long
)
In hopelessness, I'm over this
Don't give up on me (
Don't give up on me
)
Tell me you believe (
Tell me you believe
)
I can't face it all (
Face it all
)
Victorious, victorious

O-oh o-oh o-oh oh
O-oh o-oh o-oh oh
O-oh o-oh o-oh oh
O-oh o-oh o-oh oh"
Pour,Pour,Skillet,"Everything I am is resting in my jar
Holding nothing back from entering my jar
My hopes and dreams I put in my jar
You find my jar as beautiful

Deep the sorrow and pain I put in my jar
Times seem so hard I put them in my jar
My violence burns You have consumed my heart
Desperation ends with desertion in

A moment of intimacy my life explained and unpronounced
Falling at Your feet I kneel perpetually
Staring at my jar I proceed to pour it out
The loss and gain goes on and on and on

You are in the blood and you're all around
Beauty speaks without a sound
Raging flood, peace I need
Down, pour down

All my fears and needs I put in my jar
I'd give everything to know who You are
The open space around Your feet
Becomes my resting place, my destiny

Staring at my jar I proceed to pour it out
The loss and gain goes on and on and on

You're in the blood and you're all around
Beauty speaks without a sound
Raging flood, peace I need
Down, pour down
You're in the blood and you're all around
Beauty speaks without a sound
Raging flood, peace I need
Down, pour down

And all You are, is all I need
You are all I need

A moment of intimacy my life explained and unpronounced
Falling at Your feet I kneel perpetually
Staring at my jar I proceed to pour it out
The loss and gain goes on and on and on

You're in the blood and you're all around
Beauty speaks without a sound
Raging flood, peace I need
Down, pour down
You're in the blood and you're all around
Beauty speaks without a sound
Raging flood, peace I need
Down, pour down
You're in my blood, in my blood
In my blood, in my blood
In my blood, in my blood
In my blood, in my blood

And all You are, is all I need
Yes all I need, yes all I need"
Stronger,Stronger,Skillet,"My skin is my disguise
I am more than a man
I smile at my demise
Ask who I am
More than a man
More than a man
More than a man
More than a man

My skin is my disguise
I am more than a man
I was sent to rule on Earth
Ask who I am

I wreck, I wreck, I wreck
I wreck with every prayer
Ask who I am

Cause I am stronger, yeah
Than the devil, yeah, yeah
Cause I am stronger, yeah
Than the devil, yeah, yeah
Stronger, stronger

The fear tries to take me
The flesh tries to pull
Blackness all around me but I'm undefeatable
My God is strong
My God is strong
My God is strong
My God is strong
All creation watches for Him to arrive

Cause I am stronger, yeah
Than the devil, yeah, yeah
Cause I am stronger, yeah
Than the devil, yeah, yeah

Cause I am stronger, yeah
Than the devil, yeah, yeah
Cause I am stronger, yeah
Than the devil, yeah, yeah
Cause I am stronger, yeah
Than the devil, yeah, yeah
Cause I am stronger, yeah
Than the devil, yeah, yeah

Cause I am stronger, yeah
Than the devil, yeah, yeah
Cause I am stronger, yeah
Than the devil, yeah, yeah
Cause I am stronger, yeah
Than the devil, yeah, yeah
Cause I am stronger, yeah
Than the devil, yeah, yeah
Cause I am stronger, yeah
Than the devil, yeah, yeah
Cause I am stronger, yeah
Than the devil, yeah, yeah

Stronger, stronger, stronger, stronger"
The Fire Breathes,The Fire Breathes,Skillet,"The fire breathes
The fire breathes
It grows and grows and seems to have no end
The fire breathes
The fire feeds
Search and search, consuming everything it sees

It lives inside of me
Burning, burning, burning (yeah, yeah)
It lives inside of me
The fire breathes

The fire breathes
The fire breathes
The beauty in its violence brings me peace
The fire breathes
The fire breeds
It lives in hearts, causing strength to believe

It lives inside of me
Burning, burning, burning (yeah, yeah)
It lives inside of me
The fire breathes

The fire breathes
And I need
Life in this dead man to make me free

It lives inside of me
Burning, burning, burning (yeah, yeah, yeah)
It lives inside of me
The fire breathes

It lives inside of me
Burning, burning, burning (yeah, yeah, yeah)
It lives inside of me
The fire breathes
The fire breathes
The fire breathes
The fire breathes
The fire breathes"
Heaven in My Veins,Heaven in My Veins,Skillet,"I cannot escape it
Help but celebrate it
Brace before I get the shakes
You are like a drug
And all I am thinking of
Is how to get another taste

And I was born for this
Yeah I need it
Yeah I need it in my veins, yeah!
Yeah I need it
Heaven in my veins, yeah!

Divinity appeals to my need
To feed my veins with life
I cry to God
To feel that every nature
Sink into this piece of life


Yeah I need it, in my veins
Now let me go
Fly higher and higher
All of me into you
Less of me, all of you"
Anchor (Reimagined),Anchor (Reimagined),Skillet,"Ah oh oh
Ah oh oh

Driftin' beneath the horizon
Body is weak, but I'm tryin'
To make it to shore, but I'm fallin' short
I need You more
Ah oh oh
Wave after wave, I've been sinkin'
So unto Your promise, I'm clingin'
You say that I'm strong; to You, I belong
Keep holdin' on
Ah oh oh

You are my anchor
So steady me, steady me now
You are my anchor
Ah oh oh
You're keepin' my feet on the ground
In angry oceans, You've never broken
Through every wave of the storm
You are my anchor
So steady me, steady me now
Come steady me, steady me now

When I get tired of fightin'
All of the fears I've been hidin'
You gave me Your breath and tell me to rest
You never left
Ah oh oh
I can, I can, I can hear You callin' me by name
Ah oh oh
Pullin' me out from under my shame
Never be the same, I can face anything
Ah oh oh
So let it rain

You are my anchor
Ah oh oh
So steady me, steady me now
You are my anchor
Ah oh oh
You're keepin' my feet on the ground
In angry oceans, You've never broken
Through every wave of the storm
You are my anchor
So steady me, steady me now
Come steady me, steady me now

Don't let go
I don't wanna do this alone
Don't let go
I know that I'll drown on my own
[Chorus: John Cooper & 
Jen Ledger
]
You are my anchor 
(Anchor)
So steady me, steady me now
(I don't wanna do this alone)
Anchor 
(Anchor)
You're keepin' my feet on the ground
(I know that I'll drown on my own)
In angry oceans, You've never broken
Through every wave of the storm
You are my anchor 
(Anchor)
So steady me, steady me now 
(Steady me now)
Come steady me, steady me now

Come steady me, steady me now
Ah oh oh
Come steady me, steady me now
Ah oh oh
I don't wanna do this alone"
You Take My Rights Away,You Take My Rights Away,Skillet,"You take my rights away
You take control, No stopping You
You take my rights away
I can take it, oh, oh

See me let it go
You are in control
Suffer as we grow
And we say - we say we don't want to
Holding nothing
You take everything
You're worth anything at all

You take my rights away
You take control, No stopping You
You take my rights away
I can take it, oh, oh
You take my rights away
You take control, No stopping You
You take my rights away
I can take it, oh, oh

You define me
With your identity
Lose my life in You
I can take – I will take what it costs me

You take my rights away
You take control, No stopping You
You take my rights away
I can take it, oh, oh
You take my rights away
You take control, No stopping You
You take my rights away
I can take it
Oh, oh, oh, oh, oh, oh, oh, oh

You take my rights away
You take my rights away
You take control, No stopping You
You take my rights away
I can take it, oh, oh
You take my rights away
You take control, No stopping You
You take my rights away
I can take it, oh, oh
You take my rights away
You take control, No stopping You
You take my rights away
I can take it, oh, oh, oh"
Terrify the Dark (Reimagined),Terrify the Dark (Reimagined),Skillet,"No power on Earth, no power in Hell
Is gonna steal my peace
Ten thousand enemies, they will
End up on their knees
When I'm hopeless, I can know this, You're with me

Your light will terrify the dark
I call upon the name
That tears another part
My doubt will answer to Your scars
And fear will have no place
No hold upon my heart
[Post-Chorus: John Cooper & 
Jen Ledger
]
Your light will terrify the dark (
Your light will terrify the dark
)
Your light will terrify the dark (
Your light will terrify the dark
)

Where could I run? Where could I hide?
You're breakin' in on me
Restore the ruins of my life
From rags to royalty
I can see You, I believe You, I trust You

Your light will terrify the dark
I call upon the name
That tears another part
My doubt will answer to Your scars
And fear will have no place
No hold upon my heart
[Post-Chorus: John Cooper & 
Jen Ledger
]
Your light will terrify the dark (
Your light will terrify the dark
)
Your light will terrify the dark (
Your light will terrify the dark
)

Break in on me 'til all I see is You, is You
Break in on me 'cause all I need is You, is You
Break in on me 'cause all I need…
[Pre-Chorus: John Cooper & 
Jen Ledger
]
Your light will terrify the dark (
Your light will terrify
)

Your light will terrify the dark
I call upon the name
That tears another part
My doubt will answer to Your scars
And fear will have no place
No hold upon my heart

Your light will terrify the dark (
Your light will terrify the dark
)
Your light will terrify the dark (
Your light will terrify the dark
)
No fear has a hold upon my heart (
Your light will terrify the dark
)
Your light will terrify the dark (
Your light will terrify the dark
)"
Boundaries,Boundaries,Skillet,"I stand here closed and open
Praying for the summer rains
Reaching in to pull back the curtains
Ruling in this desolate land

I will let me go
My walls melt away
You have no boundaries
You cross my borders
You have no boundaries
You crash my borders

I lie here clothed and naked
Dam bursts to cool ocean waves
Black water cleans the highway
Resting in the washing away


You are more than all that is outside of me
You are more than that which is inside of me

You have no boundaries
I have no borders from you
You have no boundaries
I have no borders"
Last Day Of Summer,Last Day Of Summer,Skillet,"Storm clouds rush the shore
Ocean fills with tears
Life speeds up, time rolls by
Minutes measure up to years

Sun breaks through the clouds
Blinking briefly on the bay
Casting diamonds here and there
Just before it slips away

The last day of Summer
Drifts out on the wind
Never returning
Still it's not the end
It's just the last day of Summer
Wake up from the dream
Life goes on until it's gone
Night is never empty as it seems

As the shadows fall
Somewhere someone lights a fire
Dancing like a distant sun
Like a walker on a wire

The last day of Summer
Drifts out on the wind
Never returning
Still it's not the end
It's just the last day of Summer
Wake up from the dream
Life goes on until it's gone
Night is never empty as it seems

Sunset has no hidden meaning
Only beauty, silent as time
Melting slowly into the sea
As stars like angels rise and shine

The last day of Summer
Drifts out on the wind
Never returning
Still it's not the end
It's just the last day of Summer
Wake up from the dream
Life goes on until it's gone
Night is never empty as it

The last day of Summer
Drifts out on the wind
Never returning
Still it's not the end
It's just the last day of Summer
Wake up from the dream
Life goes on until it's gone
Night is never empty as it seems
Empty as it seems"
Each Other,Each Other,Skillet,"I am yours, you are mine
Believe in you, friend of mine
You're not fading in my eyes
Could you stay? Could you stay? Hey, hey

We must hold on to our faith in each other
We must let go of our pain, yeah I say
We must hold on to our faith in each other
Got to still believe in each other

Time is short to live the life
Do not give up, friend of mine
Strength to rise one more time
Could you stand? Could you stand? Hey, hey

We must hold on to our faith in each other
We must let go of our pain, yeah I say
We must hold on to our faith in each other
Got to still believe in each other

It's okay to feel weak
It's okay to fall down
It's okay to lose sight
But we've gotta believe and stand together

We must hold on to our faith in each other
We must let go of our pain, yeah I say
We must hold on to our faith in each other
Got to still believe in each other

We must hold on to our faith in each other
We must let go of our pain, yeah I say
We must hold on to our faith in each other
Got to still believe in each other"
Scarecrow,Scarecrow,Skillet,"Hanging on a post
In my dirty clothes
Try to concentrate on You
But I keep forgetting

Safe enough to not let go
Scared enough to not release
Open up to drink the wind
You tear me up when you come in

Take me down, shake me out
Give me a brain, that I might know You better
Take me down, shake me out
Give me a brain, that I might know You better

Hanging in the sun
Waiting for the rain
Saw a field catch on fire
I caught myself just watching

Safe enough to not let go
Scared enough to not release
Open up to drink the wind
You tear me up when you come in

Take me down, shake me out
Give me a heart, that I might love You better
Take me down, shake me out
Give me a heart, that I might love You better

Hanging on a post
Just next to Yours
I want to curse and spit
I weep aloud at Your mercy

Take me down, shake me out
Give me a life, that I might serve You better
Take me down, shake me out
Give me a life, that I might serve You better
Take me down, shake me out
Give me a life, that I might serve You better
Take me down, shake me out
Give me a life, that I might serve You better
Take me down, shake me out
Give me a life, that I might serve You better
Take me down, shake me out
Give me a life, that I might serve You better"
Splinter,Splinter,Skillet,"Here I lie again inside this broken body
Wrestle against the tree, my muscles aching
To get up now is death, to die is to really live
Flesh is restless, twisting, spasms in my back increasing

Splinter me, splinter me
My heart, my head
Splinter me

Here I think again to try to solve this puzzle
What is not yours I do not want, my mind aching
To reconstruct my thoughts or let it blow away
You are all-knowing, changing, yeah you arekilling me

Splinter me, splinter me
My heart, my head
Splinter me

Jesus whispered softly, Jesus shouted it out
His kingdom body coming
But we nail him up and hate each other

Splinter me, splinter me
My broken body
Splinter me
Splinter me, splinter me
My broken body
Splinter me"
Deeper,Deeper,Skillet,"Jesus pure truth
Recollect my mind (ya-da-da-da)
Hurt that I push down
Shows my anger why
I can't go underground

Everything I bury gets exhumed
I got to dig deeper
And all the things I bury gets exhumed
I got to dig deeper

I must get used
To strength out of weak (ya-di-da-da-da)
Becoming by what I give
Not by what I can keep
Exposed before You

Everything I bury gets exhumed
I got to dig deeper
And all the things I bury gets exhumed
I got to dig deeper

How can I hide deeper
How I fly deeper in You
How can I hide deeper
How I fly deeper in You
How can I hide deeper
How I fly deeper in you
How can I hide deeper
How I fly deeper in you
How can I hide deeper
How I fly deeper in you
And everything I bury gets exhumed
And all the things I bury gets exhumed"
Always the Same,Always the Same,Skillet,"You never change
Always the same, always the same, always the same
Da, dadadada, dadadada, dada
Da, dadadada, dadadada, dadadada

Strange how everything
Seems to rearrange
Apart from who you are
Nations rise and fall
Built, rebuild the walls
They all fall down
Nothing shakes you
Nothing shakes you down


Seasons come and go
Your joy immutable
I hide myself in you
Shaking of our lives
Strength, with strength we rise
Anchored in you
Nothing shakes you
Nothing shakes you down

You never change
Always the same, always the same, always the same

Spinning, spinning, the whole world just spins around
People to people all trying just to figure out
Moving, moving, where's the power to slow it down
Staying, standing, standing on this strength I've found

Da, dadadada, dadadada, dada
You never change
Always the same, always the same, always the same
You never change (Spinning)
Always the same (spinning), always the same (the whole world just spins around) always the same
You never change
Dadadada"
Coming Down,Coming Down,Skillet,"Things are coming down
Things are coming down I can tell you
Beautiful the sound
Of things coming cause I heard him say

Division's coming down
I saw peace on a white horse riding
Love is spreading around
The most contagious disease we've ever known

I will drink from the well of the One who gives me life
I will eat of the bread of the One sacrifice
I will breathe of the breath of the body of God
I will dive to the depths and I will raise a new man

Racism's coming down
Not from the law but a change in perception
Revival's spreading around
I hear the sound of reapers already say

I will drink from the well of the One who gives me life
I will eat of the bread of the One sacrifice
I will breathe of the breath of the body of God
I will dive to the depths and I will raise a new man

Our knees are going down
To the One who brings fear to my every bone
His Kingdom's reigning down
Who can stop the plans of the Lord I say

I will drink from the well of the One who gives me life
I will eat of the bread of the One sacrifice
I will breathe of the breath of the body of God
I will dive to the depths and I will raise a new man
I will drink from the well of the One who gives me life
I will eat of the bread of the One sacrifice
I will breathe of the breath of the body of God
I will dive to the depths and I will raise a new man"
Suspended in You,Suspended in You,Skillet,"Thought You'd put me in a box
Thought You'd push me into a clump
Make me smaller than I was before
Though You would press me and mold me
Took a step and felt the pressure on
Exploding me into open space

Now You pull me apart
I'm suspended in You
Stretch me bigger
Reveal Yourself to be
The frame that holds me tightly in center
Pulled into suspension in the middle of You

Let what was hidden be revealed
Walls of fear broken wide
Infinite Jesus spread all in You
Towering over the horizons
Stretching to the horizons
Gushing with surrender in Your hands

Now You pull me apart
I'm suspended in You
Stretch me bigger
Reveal Yourself to be
The frame that holds me tightly in center
Pulled into suspension in the middle of You

Now You pull me apart
I'm suspended in You
Stretch me bigger
Reveal Yourself to be
The frame that holds me tightly in center
Pulled into suspension in the middle of You

Now You pull me apart
I'm suspended in You
Stretch me bigger
Reveal Yourself to be
The frame that holds me tightly in center
Pulled into suspension in the middle of You

Now You pull me apart
I'm suspended in You
Stretch me bigger
Reveal Yourself to be
The frame that holds me tightly in center
Pulled into suspension in the middle of You

Now you pull me apart
Stretch me bigger
Frame that holds me tightly in center
Pulled into suspension in the middle of You"
Come on to the Future,Come on to the Future,Skillet,"Come on, Come on, Come on to the future
Come all, Come all the way
Come on, Come on, Come on to the future
The future is arranged

Can you see it
You know the future's in my sight
Invisible kingdom
Collides with space and time
The universe has been ordered, yeah

Come on, Come on, Come on to the future
Come all, Come all the way
Come on, Come on, Come on to the future
The future is arranged

Stepping over
Stepping in the age to come
Can you feel it
Unstoppable power
The universe has been ordered, yeah

Come on, Come on, Come on to the future
Come all, Come all the way
Come on, Come on, Come on to the future
The future is arranged

Hold tight, hold on
The future's on its way
Run hard, run strong
The future's on its way
It can't stop, it can't stop
Here it comes
Straight for you, head on
Here it comes
Here it comes
Here it comes
Here it comes

Come on, Come on, Come on to the future
Come all, Come all the way
Come on, Come on, Come on to the future
The future is arranged

Come on, Come on, Come on to the future
Come all, Come all the way
Come on, Come on, Come on to the future
The future is arranged

Come on, Come on, Come on to the future
Come all, Come all the way
Come on, Come on, Come on to the future
The future is arranged"
Whispers in the Dark (Acoustic),Whispers in the Dark (Acoustic),Skillet,"SKILLET
Despite the lies that you're making
Your love is mine for the taking
My love is
Just waiting
To turn your tears to roses
I will be the one that's gonna hold you
I will be the one that you run to
My love is
A burning, consuming fire

No
You'll never be alone
When darkness comes, I'll light the night with stars
Hear my whispers in the dark
No
You'll never be alone
When darkness comes, you know I'm never far
Hear my whispers in the dark
You feel so lonely and ragged
You lay here broken and naked
My love is
Just waiting
To clothe you in crimson roses
I will be the one that's gonna find you
I will be the one that's gonna guide you
My love is
A burning, consuming fire

Whispers in the dark "
Rebirthing (Acoustic),Rebirthing (Acoustic),Skillet,"SKILLET
I lie here paralytic
Inside this soul
Screaming for you till
My throat is numb
I wanna break out
I need a way out
I don't believe that its gotta be this way
The worst is
The waiting
In this room I'm suffocating
Feel Your presence
Filling up my lungs with oxygen
I'll take You in
I've died

Rebirthing now
I wanna live for love
Wanna live for you and me
(Breathe for the first time now
I came alive somehow)
Rebirthing now
I wanna live my life
Wanna give you everything
(Breathe for the first time now
I came alive somehow)
Right now
Right now
I lie here lifeless
In this cocoon
Shedding the skin cause
I'm ready to
I wanna break out
I found a way out
I don't believe that its gonna be this way
The worst is
The waiting
In this world I'm suffocating
Feel Your presence
Filling up my lungs with oxygen
I'll take You in
I've died

Tell me when I'm gonna live again
Tell me when I'm gonna breathe you in
Tell me when I'm gonna feel inside
Tell me when I'm gonna feel alive
Tell me when I'm gonna live again
Tell me when this fear will end
Tell me when I'm gonna feel inside
Tell me when I'll feel alive"
Whispers In The Dark (Comes Alive Version),Whispers In The Dark (Comes Alive Version),Skillet,"Despite the lies that you're making
Your love is mine for the taking
My love is
Just waiting
To turn your tears to roses
Despite the lies that you're making
Your love is mine for the taking
My love is
Just waiting
To turn your tears to roses
I will be the one that's gonna hold you
I will be the one that you run to
My love is
A burning, consuming fire

No
You'll never be alone
When darkness comes, I'll light the night with stars
Hear the whispers in the dark
No
You'll never be alone
When darkness comes, you know I'm never far
Hear the whispers in the dark
You feel so lonely and ragged
You lay here broken and naked
My love is
Just waiting
To clothe you in crimson roses
I will be the one that's gonna find you
I will be the one that's gonna guide you
My love is
A burning, consuming fire

Whispers in the dark"
Darn Great Day,Darn Great Day,Skillet,"The world may fall but it's a darn great day
All my plans are goin' down the drain
I've no need for rhyme or reason
Smile on my face 'cause it's a darn great, darn great day

I can't wait until tomorrow
I just couldn't stand my yesterday
I can't believe I was shell-shocked
A cold winter's chills go through my veins

Tell me, you got to give it to me

The world may fall but it's a darn great day
All my plans are goin' down the drain
I've no need for rhyme or reason
Smile on my face 'cause it's a darn great, darn great day

I can't wait until tomorrow
Things just didn't seem to go my way
But it seems to know my questions
Why am I sad if I feel okay?

I know you got to give it to me

The world may fall but it's a darn great day
All my plans are goin' down the drain
I've no need for rhyme or reason
Smile on my face 'cause it's a darn great, darn great day

I can't wait until tomorrow
I just couldn't stand my yesterday
I can't believe I was shell-shocked
Cold winter's chills through my veins

You know my answer
But you know my pain
You know my question

And you know you got to give it to me

The world may fall but it's a darn great day
All my plans are goin' down the drain
I've no need for rhyme or reason
Smile on my face 'cause it's a darn great, darn great day

Darn great, darn great, darn great, darn great, darn great, darn great, darn great, darn great day day
I can't wait until tomorrow"
Whirlwind,Whirlwind,Skillet,"Talking to God
Hearing what he wants
He moves in violence
I stand in silence
Who can question You, who can fathom You?
In your presence, who can stand?
Worlds spin around and kings crumble down
There's no escape what You've planned

Winds approaching, clouds are forming
God in his power
Is swirling around me
Calling me, and you know my name
So jump in or be taken, yea I can't
Run long enough, or go far enough
To escape the screaming rain

It's alright
It's alright
Jump in the whirlwind
I'm letting go
It's alright
It's alright
Jump in the whirlwind
I'm letting go

My world's at stake
I want to break
Stop the striving
Start the dying
I'm thrown into it
It's so imminent
There's no arguing what You say
I got to keep fanning it, I keep fanning it
I keep fanning the fire to flames

It's alright
It's alright
Jump in the whirlwind
I'm letting go
It's alright
It's alright
Jump in the whirlwind
I'm letting go
It's alright
It's alright
Jump in the whirlwind
I'm letting go

Master and Savior, Sustainer and Creator
You move in power
And winds and thunder

It's alright
It's alright
Jump in the whirlwind
I'm letting go
It's alright
It's alright
Jump in the whirlwind
I'm letting go
It's alright
It's alright
Jump in the whirlwind
I'm letting go
It's alright
It's alright
Jump in the whirlwind
I'm letting go
Letting go – I'm letting go, I'm letting go, I'm letting go"
Say It Loud,Say It Loud,Skillet,"Can't help but speak of what I've seen and heard
I understand just what the purpose is
Uncover peace; uncover hope for all to see
And I can't keep quiet, got to shout it out to You

Got to say it loud
Got to say it loud
Got to say it loud
Got to shout it out
Got to say it loud
Got to say it loud
Got to say it loud
Got to shout it out
Say it loud, say it loud
Say it loud, say it loud

Come right away to find the joy I have found
Don't hesitate to give up everything
Discover peace; discover hope, meaning of life
I've got to say it, got to shout it out to You

Got to say it loud
Got to say it loud
Got to say it loud
Got to shout it out
Got to say it loud
Got to say it loud
Got to say it loud
Got to shout it out
Got to say it loud
Got to say it loud
Got to say it loud
Got to shout it out
Got to say it loud
Got to say it loud
Got to say it loud
Got to shout it out

Can't keep it, keep it all to myself
Can't hold it, can't hold it down
Can't shut it, can't shut it out
Can't keep me silent, yeah

Got to say it loud
Got to say it loud
Got to say it loud
Got to shout it out
Got to say it loud
Got to say it loud
Got to say it loud
Got to shout it out
Got to say it loud
Got to say it loud
Got to say it loud
Got to shout it out
Got to say it loud
Got to say it loud
Got to say it loud
Got to shout it out
Got to say it loud
Got to say it loud
Got to say it loud
Got to shout it out
Got to say it loud
Got to say it loud
Got to say it loud
Got to shout it out

Say it loud, say it loud, gotta shout it out
Say it loud, say it loud, gotta shout it out
Say it loud, say it loud, gotta shout it out
Say it loud, say it loud, gotta shout it out"
Take,Take,Skillet,"Take my strength, take my pride
Take my selfishness away
Take my rights, take ambition
Capture me, make me a slave
Break the walls, break my bones
Break my hardened heat
Rip my rule, rip my will
Rip in-dependency apart

Breathe Your life
Breathe Your love
Breathe You breath and I'm sustained
Take my hate, take my hurt
Express healing to my pain
Take my flesh in all its arrogance, my stability away
Take my life, bring fire, till only You remain

Laid out on my face (yea)
My tongue hanging out to taste (yea)
Of You and Your death (yea)
And to know Your name (yea)

Accept my gifts, take my crowns
I spread them at your feet
When I bleed, I bleed with joy as I taste Your suffering
Flood life, flood peace, speak acceptance to my shame
Allow to kneel, allow to praise
Give the right to speak Your name

Laid out on my face (yea)
My tongue hanging out to taste (yea)
Of You and Your death (yea)
And to know Your name (yea)

Laid out on my face (yea)
My tongue hanging out to taste (yea)
Of You and Your death (yea)
And to know Your name (yea)

Laid out on my face
Wanting to know your name
Laid out on my face
Wanting to know your name, yeah"
Intro,Intro,Skillet,"70 seconds
30 seconds
20 seconds
10, 9, 8, 7, 6, 5, 4, 3, 2, 1"
